region,species,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Fraser,Coho,Run Size,0.219415235,0.051580018,arrow-up,-0.05144883,arrow-down,79322.26118,2022,65049.42608,33280.00891,4,39,1984-2022,20240719
Fraser,Pink,Spawners,1.102700861,0.036183415,arrows-left-right,0.035706343,arrow-up,9576629,2023,4554441.946,7827445,2,33,1959-2023,20240719
Fraser,Pink,Run Size,0.120351176,0.043941682,arrows-left-right,0.011311984,arrows-left-right,10520844,2023,9390666.269,8107514,2,33,1959-2023,20240719
Fraser,Sockeye,Spawners,-0.190133488,-0.119852666,arrow-down,0.009953733,arrow-up,864250.124,2022,1067151.328,1228544.627,4,130,1893-2022,20240719
Fraser,Sockeye,Run Size,-0.611715856,-0.131987131,arrow-down,-0.000179443,arrows-left-right,1812885.585,2023,4668966.301,1623599.111,4,131,1893-2023,20240719
Fraser,Steelhead,Spawners,-0.819716164,-0.100984333,arrow-down,-0.011477014,arrows-left-right,296.3475729,2021,1643.783381,1220.017243,5,50,1972-2021,20240719
Fraser,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Columbia,Chinook,Spawners,NA,0.106616674,arrow-up,0.067262992,arrow-up,28.83760307,2022,21.0899697,48.33412177,5,17,2006-2022,20240719
Columbia,Chinook,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Columbia,Chum,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Columbia,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Columbia,Coho,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Columbia,Coho,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Columbia,Pink,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Columbia,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Columbia,Sockeye,Spawners,0.70102549,-0.146737687,arrow-down,0.018236597,arrow-up,32451.05233,2022,19077.3463,20580.17383,4,62,1961-2022,20240719
Columbia,Sockeye,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Columbia,Steelhead,Spawners,NA,-0.129603066,arrow-down,-0.127103287,arrow-down,8.777131296,2023,29.00348396,18.25102538,5,18,2006-2023,20240719
Columbia,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
