year,month,bald_eagle_count,osprey_count,temperature,runsize,spawners,predicted_osprey_count,osprey_count_lag1,temp_lag1,fish_lag1,osprey_count_lag2,temp_lag2,fish_lag2,osprey_count_lag3,temp_lag3,fish_lag3,osprey_count_roll3,temp_roll3,fish_roll3
2003,2,2562.0,1078.0,0.6600000000000001,2537245.66865,2013883.9730142858,1690.9200000000003,1190.0,0.48,2537245.66865,793.0,0.47,1688326.5743230768,884.0,0.17000000000000004,1688326.5743230768,1020.3333333333334,0.5366666666666666,2254272.637207692
2003,3,574.0,994.0,0.54,2537245.66865,2013883.973014286,309.96000000000004,1078.0,0.6600000000000001,2537245.66865,1190.0,0.48,2537245.66865,793.0,0.47,1688326.5743230768,1087.3333333333333,0.5599999999999999,2537245.66865
2003,4,420.0,1470.0,0.42,2537245.66865,2013883.9730142858,176.4,994.0,0.54,2537245.66865,1078.0,0.6600000000000001,2537245.66865,1190.0,0.48,2537245.66865,1180.6666666666667,0.5399999999999999,2537245.66865
2003,5,252.0,1288.0,0.65,2537245.6686500004,2013883.9730142858,163.8,1470.0,0.42,2537245.66865,994.0,0.54,2537245.66865,1078.0,0.6600000000000001,2537245.66865,1250.6666666666667,0.5366666666666665,2537245.66865
2003,6,630.0,882.0,0.28,2537245.66865,2013883.9730142858,176.4,1288.0,0.65,2537245.6686500004,1470.0,0.42,2537245.66865,994.0,0.54,2537245.66865,1213.3333333333333,0.4499999999999999,2537245.66865
2003,7,154.0,770.0,0.3,2537245.66865,2013883.9730142858,46.199999999999996,882.0,0.28,2537245.66865,1288.0,0.65,2537245.6686500004,1470.0,0.42,2537245.66865,980.0,0.4099999999999999,2537245.66865
2003,8,42.0,1190.0,0.54,2537245.66865,2013883.9730142858,22.68,770.0,0.3,2537245.66865,882.0,0.28,2537245.66865,1288.0,0.65,2537245.6686500004,947.3333333333334,0.37333333333333324,2537245.66865
2003,9,28.0,1190.0,0.51,2537245.6686500004,2013883.9730142858,14.280000000000001,1190.0,0.54,2537245.66865,770.0,0.3,2537245.66865,882.0,0.28,2537245.66865,1050.0,0.4499999999999999,2537245.66865
2003,10,42.0,1092.0,0.54,2537245.66865,2013883.9730142858,22.68,1190.0,0.51,2537245.6686500004,1190.0,0.54,2537245.66865,770.0,0.3,2537245.66865,1157.3333333333333,0.5299999999999999,2537245.66865
2003,11,518.0,994.0,0.6,2537245.66865,2013883.9730142858,310.8,1092.0,0.54,2537245.66865,1190.0,0.51,2537245.6686500004,1190.0,0.54,2537245.66865,1092.0,0.5499999999999998,2537245.66865
2003,12,518.0,1008.0,0.16,2537245.66865,2013883.9730142858,82.88,994.0,0.6,2537245.66865,1092.0,0.54,2537245.66865,1190.0,0.51,2537245.6686500004,1031.3333333333333,0.4333333333333332,2537245.66865
2004,1,1066.0,1209.0,0.26,860938.0852230769,398057.1326153846,277.16,1008.0,0.16,2537245.66865,994.0,0.6,2537245.66865,1092.0,0.54,2537245.66865,1070.3333333333333,0.33999999999999986,1978476.4741743589
2004,2,1690.0,845.0,0.1,860938.0852230769,398057.1326153846,169.0,1209.0,0.26,860938.0852230769,1008.0,0.16,2537245.66865,994.0,0.6,2537245.66865,1020.6666666666666,0.1733333333333332,1419707.2796987176
2004,3,637.0,1131.0,0.51,860938.085223077,398057.13261538465,324.87,845.0,0.1,860938.0852230769,1209.0,0.26,860938.0852230769,1008.0,0.16,2537245.66865,1061.6666666666667,0.28999999999999987,860938.0852230769
2004,4,754.0,1612.0,0.56,860938.085223077,398057.1326153846,422.24000000000007,1131.0,0.51,860938.085223077,845.0,0.1,860938.0852230769,1209.0,0.26,860938.0852230769,1196.0,0.38999999999999985,860938.0852230769
2004,5,364.0,1469.0,0.85,860938.085223077,398057.1326153846,309.4,1612.0,0.56,860938.085223077,1131.0,0.51,860938.085223077,845.0,0.1,860938.0852230769,1404.0,0.6399999999999998,860938.085223077
2004,6,416.0,1196.0,0.78,860938.0852230769,398057.13261538465,324.48,1469.0,0.85,860938.085223077,1612.0,0.56,860938.085223077,1131.0,0.51,860938.085223077,1425.6666666666667,0.7299999999999999,860938.085223077
2004,7,299.0,1469.0,0.46,860938.085223077,398057.13261538465,137.54,1196.0,0.78,860938.0852230769,1469.0,0.85,860938.085223077,1612.0,0.56,860938.085223077,1378.0,0.6966666666666667,860938.0852230769
2004,8,130.0,1157.0,0.4,860938.085223077,398057.13261538465,52.0,1469.0,0.46,860938.085223077,1196.0,0.78,860938.0852230769,1469.0,0.85,860938.085223077,1274.0,0.5466666666666665,860938.085223077
2004,9,208.0,1651.0,0.38,860938.0852230769,398057.13261538465,79.04,1157.0,0.4,860938.085223077,1469.0,0.46,860938.085223077,1196.0,0.78,860938.0852230769,1425.6666666666667,0.41333333333333316,860938.085223077
2004,10,247.0,1300.0,0.54,860938.0852230769,398057.1326153846,133.38,1651.0,0.38,860938.0852230769,1157.0,0.4,860938.085223077,1469.0,0.46,860938.085223077,1369.3333333333333,0.4399999999999999,860938.0852230769
